ship, materializing.
materializing, ship_materializing1.png, materializing2.
materializing2, ship_materializing2.png, materializing3.
materializing3, ship_materializing3.png, materializing4.
materializing4, ship_materializing4.png, flying.
flying, ship_flying1.png, flying2.
flying2, ship_flying2.png, flying3.
flying3, ship_flying3.png, flying3.
flying4, ship_flying4.png, flying.
firing, ship_firing1.png, firing2.
firing2, ship_firing2.png, flying.

smallAsteroid, tumbling, 3.
tumbling, asteroidSmall01.png, tumbling2.
tumbling2, asteroidSmall02.png, tumbling3.
tumbling3, asteroidSmall03.png, tumbling4.
tumbling4, asteroidSmall04.png, tumbling5.
tumbling5, asteroidSmall05.png, tumbling6.
tumbling6, asteroidSmall06.png, tumbling7.
tumbling7, asteroidSmall07.png, tumbling8.
tumbling8, asteroidSmall08.png, tumbling9.
tumbling9, asteroidSmall09.png, tumbling10.
tumbling10, asteroidSmall10.png, tumbling.

asteroid, tumbling, 3.
tumbling, asteroid01.png, tumbling2.
tumbling2, asteroid02.png, tumbling3.
tumbling3, asteroid03.png, tumbling4.
tumbling4, asteroid04.png, tumbling5.
tumbling5, asteroid05.png, tumbling6.
tumbling6, asteroid06.png, tumbling7.
tumbling7, asteroid07.png, tumbling8.
tumbling8, asteroid08.png, tumbling9.
tumbling9, asteroid09.png, tumbling10.
tumbling10, asteroid10.png, tumbling11.
tumbling11, asteroid11.png, tumbling12.
tumbling12, asteroid12.png, tumbling13.
tumbling13, asteroid13.png, tumbling14.
tumbling14, asteroid14.png, tumbling15.
tumbling15, asteroid15.png, tumbling16.
tumbling16, asteroid16.png, tumbling.

midAsteroid, tumbling, 3.
tumbling, asteroidMid01.png, tumbling2.
tumbling2, asteroidMid02.png, tumbling3.
tumbling3, asteroidMid03.png, tumbling4.
tumbling4, asteroidMid04.png, tumbling5.
tumbling5, asteroidMid05.png, tumbling6.
tumbling6, asteroidMid06.png, tumbling7.
tumbling7, asteroidMid07.png, tumbling8.
tumbling8, asteroidMid08.png, tumbling9.
tumbling9, asteroidMid09.png, tumbling10.
tumbling10, asteroidMid10.png, tumbling11.
tumbling11, asteroidMid11.png, tumbling12.
tumbling12, asteroidMid12.png, tumbling13.
tumbling13, asteroidMid13.png, tumbling14.
tumbling14, asteroidMid14.png, tumbling15.
tumbling15, asteroidMid15.png, tumbling16.
tumbling16, asteroidMid16.png, tumbling17.
tumbling17, asteroidMid17.png, tumbling18.
tumbling18, asteroidMid18.png, tumbling19.
tumbling19, asteroidMid19.png, tumbling20.
tumbling20, asteroidMid20.png, tumbling.

bigAsteroid, tumbling, 3.
tumbling, asteroidBig01.png, tumbling2.
tumbling2, asteroidBig02.png, tumbling3.
tumbling3, asteroidBig03.png, tumbling4.
tumbling4, asteroidBig04.png, tumbling5.
tumbling5, asteroidBig05.png, tumbling6.
tumbling6, asteroidBig06.png, tumbling7.
tumbling7, asteroidBig07.png, tumbling8.
tumbling8, asteroidBig08.png, tumbling9.
tumbling9, asteroidBig09.png, tumbling10.
tumbling10, asteroidBig10.png, tumbling11.
tumbling11, asteroidBig11.png, tumbling12.
tumbling12, asteroidBig12.png, tumbling13.
tumbling13, asteroidBig13.png, tumbling14.
tumbling14, asteroidBig14.png, tumbling15.
tumbling15, asteroidBig15.png, tumbling16.
tumbling16, asteroidBig16.png, tumbling17.
tumbling17, asteroidBig17.png, tumbling18.
tumbling18, asteroidBig18.png, tumbling19.
tumbling19, asteroidBig19.png, tumbling20.
tumbling20, asteroidBig20.png, tumbling21.
tumbling21, asteroidBig21.png, tumbling22.
tumbling22, asteroidBig22.png, tumbling23.
tumbling23, asteroidBig23.png, tumbling24.
tumbling24, asteroidBig24.png, tumbling.

blue, tumbling, 2.
tumbling, toroidal01.png, tumbling2.
tumbling2, toroidal02.png, tumbling3.
tumbling3, toroidal03.png, tumbling4.
tumbling4, toroidal04.png, tumbling5.
tumbling5, toroidal05.png, tumbling6.
tumbling6, toroidal06.png, tumbling7.
tumbling7, toroidal07.png, tumbling8.
tumbling8, toroidal08.png, tumbling9.
tumbling9, toroidal09.png, tumbling10.
tumbling10, toroidal10.png, tumbling11.
tumbling11, toroidal11.png, tumbling12.
tumbling12, toroidal12.png, tumbling13.
tumbling13, toroidal13.png, tumbling14.
tumbling14, toroidal14.png, tumbling15.
tumbling15, toroidal15.png, tumbling16.
tumbling16, toroidal16.png, tumbling17.
tumbling17, toroidal17.png, tumbling18.
tumbling18, toroidal18.png, tumbling.

red, tumbling.
tumbling, red01.png, tumbling2.
tumbling2, red02.png, tumbling3.
tumbling3, red03.png, tumbling4.
tumbling4, red04.png, tumbling5.
tumbling5, red05.png, tumbling6.
tumbling6, red06.png, tumbling7.
tumbling7, red07.png, tumbling8.
tumbling8, red08.png, tumbling9.
tumbling9, red09.png, tumbling10.
tumbling10, red10.png, tumbling11.
tumbling11, red11.png, tumbling12.
tumbling12, red12.png, tumbling.

laser, appearing.
appearing, laser1.png, appearing2.
appearing2, laser2.png, flying.
appearing3, laser3.png, flying.
flying, laser4.png, flying2.
flying, laser5.png, flying3.
flying, laser6.png, flying.

orange, tumbling.
tumbling, orange01.png, tumbling2.
tumbling2, orange02.png, tumbling3.
tumbling3, orange03.png, tumbling4.
tumbling4, orange04.png, tumbling5.
tumbling5, orange05.png, tumbling6.
tumbling6, orange06.png, tumbling7.
tumbling7, orange07.png, tumbling8.
tumbling8, orange08.png, tumbling9.
tumbling9, orange09.png, tumbling10.
tumbling10, orange10.png, tumbling11.
tumbling11, orange11.png, tumbling12.
tumbling12, orange12.png, tumbling13.
tumbling13, orange13.png, tumbling14.
tumbling14, orange12.png, tumbling15.
tumbling15, orange11.png, tumbling16.
tumbling16, orange10.png, tumbling17.
tumbling17, orange09.png, tumbling18.
tumbling18, orange08.png, tumbling19.
tumbling19, orange07.png, tumbling20.
tumbling20, orange06.png, tumbling21.
tumbling21, orange05.png, tumbling22.
tumbling22, orange04.png, tumbling23.
tumbling23, orange03.png, tumbling24.
tumbling24, orange02.png, tumbling.

white, appearing.
appearing, whiteAppearing01.png, appearing2.
appearing2, whiteAppearing02.png, appearing3.
appearing3, whiteAppearing03.png, appearing4.
appearing4, whiteAppearing04.png, appearing5.
appearing5, whiteAppearing05.png, appearing6.
appearing6, whiteAppearing06.png, appearing7.
appearing7, whiteAppearing07.png, appearing8.
appearing8, whiteAppearing08.png, appearing9.
appearing9, whiteAppearing09.png, appearing10.
appearing10, whiteAppearing10.png, appearing11.
appearing11, whiteAppearing11.png, appearing12.
appearing12, whiteAppearing12.png, tumbling.
tumbling, white01.png, tumbling2.
tumbling2, white02.png, tumbling3.
tumbling3, white03.png, tumbling4.
tumbling4, white04.png, tumbling5.
tumbling5, white05.png, tumbling6.
tumbling6, white06.png, tumbling7.
tumbling7, white07.png, tumbling8.
tumbling8, white08.png, tumbling9.
tumbling9, white09.png, tumbling10.
tumbling10, white10.png, tumbling11.
tumbling11, white11.png, tumbling12.
tumbling12, white12.png, tumbling13.
tumbling13, white13.png, tumbling14.
tumbling14, white14.png, tumbling15.
tumbling15, white15.png, tumbling16.
tumbling16, white16.png, tumbling17.
tumbling17, white17.png, tumbling18.
tumbling18, white18.png, tumbling19.
tumbling19, white19.png, tumbling20.
tumbling20, white20.png, tumbling21.
tumbling21, white21.png, tumbling22.
tumbling22, white22.png, tumbling23.
tumbling23, white23.png, tumbling24.
tumbling24, white24.png, tumbling.
collapsing, whiteCollapsing01.png, collapsing2.
collapsing2, whiteCollapsing02.png, collapsing3.
collapsing3, whiteCollapsing03.png, collapsing4.
collapsing4, whiteCollapsing04.png, collapsing5.
collapsing5, whiteCollapsing05.png, collapsing6.
collapsing6, whiteCollapsing06.png, collapsing7.
collapsing7, whiteCollapsing07.png, collapsing8.
collapsing8, whiteCollapsing08.png, collapsing9.
collapsing9, whiteCollapsing09.png, collapsing10.
collapsing10, whiteCollapsing10.png, collapsing11.
collapsing11, whiteCollapsing11.png, collapsing12.
